Party,Name_Short_y,Name_Short_x,CountryCode,parlgov_id
Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja KORWiN,KORWIN,KORWiN,POL,2602
Kukiz'15,K,Kukiz '15,POL,2600
Liga Polskich Rodzin,LPR,LPR,POL,987
Partia Razem,Razem,LR,POL,2625
Partia X,X,X,POL,181
Polski Związek Zachodni,PZZ,PZZ,POL,1074
Prawo i Sprawiedliwość,PiS,PiS,POL,528
Ruch Narodowy,RN,RN,POL,2398
Ruch Odbudowy Polski,ROP,ROP,POL,148
Samoobrona Rzeczypospolitej Polskiej,SRP,SO,POL,207
Unia Polityki Realnej | Kongres Nowej Prawicy,UPR|KNP,UPR,POL,1549
Zjednoczenie Chrześcijańsko-Narodowe,ZChN,ZChN,POL,1758
Bloco de Esquerda,BE,BE,PRT,557
Chega,CH,Chega,PRT,2789
Partido Comunista Português,PCP,PCP,PRT,514
Alianța pentru Unirea Românilor,AUR,AUR,ROU,2807
Partidul Mișcarea Populară,PMP,PMP,ROU,2395
Partidul Poporului – Dan Diaconescu,PP-DD,PP-DD,ROU,2130
Partidul România Mare,PRM,PRM,ROU,713
Partidul România Unită,PRU,PRU,ROU,2648
Partidul Socialist Democrat Român,PSoDR,PSD,ROU,307
Partidul Socialist Democrat Român,PSoDR,PSoDR,ROU,307
Partidul Socialist al Muncii,PSM,PSM,ROU,562
Partidul Unitatii Naţionale a Romanilor,PUNR,PUNR,ROU,648
Aliancia nového občana,ANO,ANO,SVK,1200
Hnutie za demokratické Slovensko,HZDS,HZDS / ĽS-HZDS,SVK,1142
Komunistická strana Slovenska,KSS,KSS,SVK,44
Obyčajní ľudia a nezávislé osobnosti,OLaNO,OLaNO,SVK,1759
Pravá Slovenská národná strana,PSNS,PSNS,SVK,20
Slovenská národná strana,SNS,SNS,SVK,1072
Sme Rodina – Boris Kollár,SR,SR,SVK,2623
Smer – sociálna demokracia,Smer,Smer,SVK,220
Strana občianskeho porozumenia,SOP,SOP,SVK,1016
Vlasť,V,Vlast,SVK,2798
Združenie robotníkov Slovenska,ZRS,ZRS,SVK,1563
Ľudová strana Naše Slovensko,LsNS,L'SNS,SVK,586
Levica,L,Levica,SVN,2670
Lista Marjana Šarca,LMS,LMS,SVN,2668
Nova Slovenija – Krščanska ljudska stranka,NSI,N.Si,SVN,1047
Slovenija je naša,SO,SJN,SVN,2019
Slovenska demokratska stranka,SDS,SDS,SVN,179
Slovenska nacionalna stranka,SNS,SNS,SVN,981
Socialistična stranka Slovenije,SSS,SSS,SVN,317
Združena lista – Socialni demokrati,ZL-SD,ZL,SVN,706
Ny Demokrati,NyD,NyD,SWE,951
Sverigedemokraterna,SD,SD,SWE,1546
Vänsterpartiet (kommunisterna),V,V,SWE,882
